Date,Open,High,Low,Close*,Adj Close**,Volume
01-12-89,2296.20,2422.80,2296.20,2422.70,2422.70,-
01-01-90,2422.70,2479.40,2250.50,2337.30,2337.30,-
01-02-90,2343.60,2356.20,2208.40,2255.40,2255.40,-
01-03-90,2246.20,2306.90,2211.80,2247.90,2247.90,-
01-04-90,2245.00,2247.50,2084.40,2103.40,2103.40,-
01-05-90,2111.40,2357.20,2111.40,2345.10,2345.10,-
01-06-90,2345.10,2430.50,2332.70,2374.60,2374.60,-
01-07-90,2374.60,2430.60,2311.50,2326.20,2326.20,-
01-08-90,2329.30,2347.90,2051.20,2162.80,2162.80,-
01-09-90,2163.50,2176.70,1974.10,1990.20,1990.20,-
01-10-90,2006.30,2283.70,2006.30,2050.30,2050.30,-
01-11-90,2049.30,2191.70,2011.20,2149.40,2149.40,-
01-12-90,2159.70,2192.90,2138.00,2143.50,2143.50,-
01-01-91,2143.50,2182.10,2052.30,2170.30,2170.30,-
01-02-91,2168.50,2388.40,2155.60,2380.90,2380.90,-
01-03-91,2374.90,2527.10,2368.40,2456.50,2456.50,-
01-04-91,2456.50,2555.30,2438.60,2486.20,2486.20,-
01-05-91,2487.40,2554.90,2444.60,2499.50,2499.50,-
01-06-91,2497.70,2543.00,2414.70,2414.80,2414.80,-
01-07-91,2416.90,2612.40,2416.90,2588.80,2588.80,-
01-08-91,2586.20,2648.20,2495.70,2645.70,2645.70,-
01-09-91,2653.90,2683.70,2564.50,2621.70,2621.70,-
01-10-91,2643.40,2649.90,2511.90,2566.00,2566.00,-
01-11-91,2559.00,2580.30,2405.60,2420.20,2420.20,-
01-12-91,2412.40,2494.00,2327.00,2493.10,2493.10,-
01-01-92,2493.10,2580.20,2441.30,2571.20,2571.20,-
01-02-92,2563.70,2572.80,2500.60,2562.10,2562.10,-
01-03-92,2552.20,2574.80,2427.90,2440.10,2440.10,-
01-04-92,2384.10,2673.50,2374.10,2654.10,2654.10,-
01-05-92,2660.10,2744.50,2650.50,2707.60,2707.60,-
01-06-92,2697.70,2717.40,2502.20,2521.20,2521.20,-
01-07-92,2525.60,2529.40,2347.40,2399.60,2399.60,-
01-08-92,2390.80,2434.80,2260.60,2312.60,2312.60,-
01-09-92,2313.00,2657.30,2282.40,2553.00,2553.00,-
01-10-92,2558.40,2681.90,2446.10,2658.30,2658.30,-
01-11-92,2657.10,2784.10,2649.10,2778.80,2778.80,-
01-12-92,2772.00,2848.90,2704.20,2846.50,2846.50,-
01-01-93,2846.50,2870.20,2727.60,2807.20,2807.20,-
01-02-93,2821.90,2900.10,2794.20,2868.00,2868.00,-
01-03-93,2861.90,2980.90,2833.00,2878.70,2878.70,-
01-04-93,2871.30,2897.50,2773.70,2813.10,2813.10,-
01-05-93,2813.10,2869.20,2772.20,2840.70,2840.70,-
01-06-93,2836.10,2917.20,2829.80,2900.00,2900.00,-
01-07-93,2901.50,2939.50,2801.20,2926.50,2926.50,-
01-08-93,2920.00,3115.10,2919.50,3100.00,3100.00,-
01-09-93,3099.50,3099.50,2975.00,3037.50,3037.50,-
01-10-93,3039.00,3199.20,3026.80,3171.00,3171.00,-
01-11-93,3170.70,3176.20,3050.60,3166.90,3166.90,-
01-12-93,3197.00,3480.80,3190.30,3418.40,3418.40,-
01-01-94,3418.40,3496.10,3355.30,3491.80,3491.80,-
01-02-94,3511.40,3539.20,3243.40,3328.10,3328.10,-
01-03-94,3322.90,3328.80,3061.90,3086.40,3086.40,-
01-04-94,3086.40,3191.40,3047.00,3125.30,3125.30,-
